# npulse_e = 2
#    pol_e = (  1.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) in-phase    
#          = (  0.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) out-of-phase
#     hE_0 =  2.667700000E-01
#     hw_e =  1.140000000E-01
#    tau_e =  2.070000000E+01
#  delay_e =  0.000000000E+00
#    pol_e = (  1.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) in-phase    
#          = (  0.000000000E+00, 1.000000000E+00, 0.000000000E+00 ) out-of-phase
#     hE_0 =  2.000000000E-01
#     hw_e =  1.140000000E-01
#    tau_e =  6.832000000E+02
#  delay_e =  1.138700000E+03
#    Time [ps]   , AngularMomentum_orb
 3.292652679E-07   1.325479878E-11  -1.890257888E-12   2.603594826E-04   4.282964537E-09  -6.107919452E-10   8.328459217E-02
 5.811646319E-07   1.325479895E-11  -1.890258107E-12   2.603594826E-04   4.282964539E-09  -6.107919522E-10   8.328459217E-02
 8.177086178E-07   1.325479869E-11  -1.890257880E-12   2.603594826E-04   4.282964539E-09  -6.107919549E-10   8.328459217E-02
 1.030681194E-06   1.325479892E-11  -1.890257827E-12   2.603594826E-04   4.282964545E-09  -6.107919568E-10   8.328459217E-02
 1.222755818E-06   1.325479890E-11  -1.890258034E-12   2.603594826E-04   4.282964543E-09  -6.107919425E-10   8.328459217E-02
 1.398297979E-06   1.325479897E-11  -1.890258231E-12   2.603594826E-04   4.282964539E-09  -6.107919456E-10   8.328459217E-02
 1.561040345E-06   1.325479884E-11  -1.890258104E-12   2.603594826E-04   4.282964534E-09  -6.107919481E-10   8.328459217E-02
 1.713778985E-06   1.325479878E-11  -1.890258380E-12   2.603594826E-04   4.282964542E-09  -6.107919482E-10   8.328459217E-02
 1.858537760E-06   1.325479919E-11  -1.890258034E-12   2.603594826E-04   4.282964541E-09  -6.107919516E-10   8.328459217E-02
 1.996781473E-06   1.325479897E-11  -1.890258188E-12   2.603594826E-04   4.282964536E-09  -6.107919475E-10   8.328459217E-02
 2.129585725E-06   1.325479856E-11  -1.890258056E-12   2.603594826E-04   4.282964532E-09  -6.107919579E-10   8.328459217E-02
 2.257756873E-06   1.325479862E-11  -1.890258015E-12   2.603594826E-04   4.282964538E-09  -6.107919469E-10   8.328459217E-02
 2.381913389E-06   1.325479866E-11  -1.890258209E-12   2.603594826E-04   4.282964535E-09  -6.107919422E-10   8.328459217E-02
 2.502540489E-06   1.325479832E-11  -1.890258098E-12   2.603594826E-04   4.282964533E-09  -6.107919464E-10   8.328459217E-02
 2.620026968E-06   1.325479827E-11  -1.890257851E-12   2.603594826E-04   4.282964535E-09  -6.107919463E-10   8.328459217E-02
 2.734690341E-06   1.325479854E-11  -1.890258161E-12   2.603594826E-04   4.282964543E-09  -6.107919484E-10   8.328459217E-02
 2.846794295E-06   1.325479795E-11  -1.890258210E-12   2.603594826E-04   4.282964544E-09  -6.107919492E-10   8.328459217E-02
 2.956561027E-06   1.325479827E-11  -1.890258146E-12   2.603594826E-04   4.282964542E-09  -6.107919518E-10   8.328459217E-02
 3.064180153E-06   1.325479827E-11  -1.890258566E-12   2.603594826E-04   4.282964540E-09  -6.107919546E-10   8.328459217E-02
 3.169815268E-06   1.325479827E-11  -1.890258295E-12   2.603594826E-04   4.282964532E-09  -6.107919543E-10   8.328459217E-02
 3.273608863E-06   1.325479806E-11  -1.890257985E-12   2.603594826E-04   4.282964535E-09  -6.107919434E-10   8.328459217E-02
 3.375686084E-06   1.325479791E-11  -1.890258148E-12   2.603594826E-04   4.282964536E-09  -6.107919521E-10   8.328459217E-02
 3.476157655E-06   1.325479739E-11  -1.890257817E-12   2.603594826E-04   4.282964536E-09  -6.107919518E-10   8.328459217E-02
 3.575122176E-06   1.325479751E-11  -1.890258098E-12   2.603594825E-04   4.282964531E-09  -6.107919555E-10   8.328459217E-02
 3.672667965E-06   1.325479745E-11  -1.890258393E-12   2.603594825E-04   4.282964527E-09  -6.107919497E-10   8.328459217E-02
 3.768874540E-06   1.325479720E-11  -1.890258590E-12   2.603594825E-04   4.282964527E-09  -6.107919535E-10   8.328459217E-02
 3.863813838E-06   1.325479779E-11  -1.890258940E-12   2.603594825E-04   4.282964530E-09  -6.107919507E-10   8.328459217E-02
 3.957551220E-06   1.325479787E-11  -1.890258383E-12   2.603594825E-04   4.282964535E-09  -6.107919549E-10   8.328459217E-02
 4.050146300E-06   1.325479740E-11  -1.890258449E-12   2.603594824E-04   4.282964527E-09  -6.107919639E-10   8.328459217E-02
 4.141653653E-06   1.325479833E-11  -1.890258984E-12   2.603594824E-04   4.282964539E-09  -6.107919565E-10   8.328459217E-02
 4.232123404E-06   1.325479836E-11  -1.890258724E-12   2.603594824E-04   4.282964536E-09  -6.107919581E-10   8.328459217E-02
 4.321601733E-06   1.325479846E-11  -1.890259240E-12   2.603594823E-04   4.282964542E-09  -6.107919552E-10   8.328459217E-02
 4.410131307E-06   1.325479859E-11  -1.890259264E-12   2.603594823E-04   4.282964554E-09  -6.107919631E-10   8.328459217E-02
 4.497751657E-06   1.325479844E-11  -1.890259316E-12   2.603594823E-04   4.282964543E-09  -6.107919593E-10   8.328459217E-02
 4.584499490E-06   1.325479905E-11  -1.890259156E-12   2.603594822E-04   4.282964542E-09  -6.107919522E-10   8.328459217E-02
 4.670408980E-06   1.325479919E-11  -1.890257738E-12   2.603594822E-04   4.282964543E-09  -6.107919615E-10   8.328459217E-02
 4.755512005E-06   1.325479878E-11  -1.890258544E-12   2.603594821E-04   4.282964548E-09  -6.107919589E-10   8.328459217E-02
